"Wavelength, µm","n","k"
0.46351,2.6221,1.3277
0.47054,2.626,1.3416
0.47777,2.631,1.3558
0.48524,2.6372,1.3704
0.49294,2.6444,1.3853
0.50089,2.6528,1.4004
0.5091,2.6621,1.4155
0.51759,2.6724,1.4308
0.52636,2.6837,1.4461
0.53543,2.6959,1.4615
0.54482,2.709,1.4767
0.55455,2.7229,1.4919
0.56463,2.7375,1.507
0.57509,2.7528,1.522
0.58594,2.7688,1.5369
0.5972,2.7853,1.5517
0.60891,2.8023,1.5663
0.62109,2.8198,1.581
0.63376,2.8377,1.5955
0.64697,2.8558,1.6101
0.66073,2.8742,1.6248
0.67509,2.8928,1.6397
0.69009,2.9116,1.6548
0.70577,2.9305,1.6702
0.72218,2.9496,1.6862
0.73938,2.9687,1.7027
0.75741,2.9879,1.7199
0.77634,3.0073,1.7381
0.79624,3.0268,1.7573
0.81719,3.0466,1.7776
0.83927,3.0667,1.7994
0.86258,3.0872,1.8226
0.88723,3.1081,1.8475
0.91332,3.1298,1.8743
0.94099,3.1522,1.9032
0.97039,3.1755,1.9342
1.0017,3.2001,1.9677
1.0351,3.2259,2.0038
1.0708,3.2534,2.0427
1.109,3.2826,2.0846
1.15,3.314,2.1297
1.1943,3.3478,2.1783
1.242,3.3843,2.2306
1.2938,3.4239,2.287
1.35,3.4671,2.3477
1.4114,3.5142,2.4132
1.4785,3.5659,2.4838
1.5524,3.6227,2.5602
1.6341,3.6854,2.6429
1.7249,3.7547,2.7326
1.8263,3.8318,2.8302
1.9404,3.9179,2.9367
2.0697,4.0144,3.0534
2.2175,4.1232,3.1819
2.388,4.2468,3.3243
2.5869,4.3881,3.483
2.8219,4.5514,3.6613
3.104,4.742,3.8637
3.4486,4.9676,4.0961
3.8794,5.2393,4.3669
4.4331,5.5736,4.6879
5.1712,5.9969,5.0772
6.2042,6.5538,5.5633
7.7529,7.3282,6.1941
10.332,8.499,7.0568
